Cod,Region/Country/Area,Year,Series,Value,Footnotes
155,Western Europe,2010,Percentage of male and female intentional homicide victims- Male,1.3,
155,Western Europe,2010,Percentage of male and female intentional homicide victims- Female,0.9,
155,Western Europe,2017,Intentional homicide rates per 100K,1.1,Estimate.
155,Western Europe,2017,Percentage of male and female intentional homicide victims- Male,1.2,
155,Western Europe,2017,Percentage of male and female intentional homicide victims- Female,0.8,
155,Western Europe,2018,Intentional homicide rates per 100K,1,Estimate.
9,Oceania,2005,Intentional homicide rates per 100K,3.1,Estimate.
9,Oceania,2005,Percentage of male and female intentional homicide victims- Male,3.9,
9,Oceania,2005,Percentage of male and female intentional homicide victims- Female,2.3,
9,Oceania,2010,Intentional homicide rates per 100K,3,Estimate.
9,Oceania,2010,Percentage of male and female intentional homicide victims- Male,3.5,
9,Oceania,2010,Percentage of male and female intentional homicide victims- Female,2.4,
9,Oceania,2018,Intentional homicide rates per 100K,2.9,Estimate.
9,Oceania,2018,Percentage of male and female intentional homicide victims- Male,3.6,
9,Oceania,2018,Percentage of male and female intentional homicide victims- Female,2.1,
53,Australia and New Zealand,2005,Intentional homicide rates per 100K,1.3,Estimate.
53,Australia and New Zealand,2005,Percentage of male and female intentional homicide victims- Male,1.6,
53,Australia and New Zealand,2005,Percentage of male and female intentional homicide victims- Female,1,
53,Australia and New Zealand,2010,Intentional homicide rates per 100K,1,Estimate.
53,Australia and New Zealand,2010,Percentage of male and female intentional homicide victims- Male,1.2,
53,Australia and New Zealand,2010,Percentage of male and female intentional homicide victims- Female,0.9,
53,Australia and New Zealand,2017,Intentional homicide rates per 100K,0.8,Estimate.
53,Australia and New Zealand,2017,Percentage of male and female intentional homicide victims- Male,1.2,
53,Australia and New Zealand,2017,Percentage of male and female intentional homicide victims- Female,0.5,
53,Australia and New Zealand,2018,Intentional homicide rates per 100K,0.9,Estimate.
4,Afghanistan,2010,Intentional homicide rates per 100K,3.4,
4,Afghanistan,2018,Intentional homicide rates per 100K,6.7,
4,Afghanistan,2018,Percentage of male and female intentional homicide victims- Male,12.2,
4,Afghanistan,2018,Percentage of male and female intentional homicide victims- Female,0.8,
8,Albania,2005,Intentional homicide rates per 100K,5,
8,Albania,2005,Percentage of male and female intentional homicide victims- Male,8.6,
8,Albania,2005,Percentage of male and female intentional homicide victims- Female,1.4,
8,Albania,2005,Assault rate per 100K population,5.4,
8,Albania,2005,Theft at the national level- rate per 100K population,96.7,
8,Albania,2005,Total Sexual Violence at the national level- rate per 100K,2.9,
8,Albania,2010,Intentional homicide rates per 100K,4.3,
8,Albania,2010,Percentage of male and female intentional homicide victims- Male,7.3,
8,Albania,2010,Percentage of male and female intentional homicide victims- Female,1.3,
8,Albania,2010,Assault rate per 100K population,6,
8,Albania,2010,Kidnapping at the national level- rate per 100K,0.3,
8,Albania,2010,Theft at the national level- rate per 100K population,134.9,
8,Albania,2010,Robbery at the national level- rate per 100K population,8,
8,Albania,2010,Total Sexual Violence at the national level- rate per 100K,2.7,
8,Albania,2017,Intentional homicide rates per 100K,2,
8,Albania,2017,Percentage of male and female intentional homicide victims- Male,3.1,
8,Albania,2017,Percentage of male and female intentional homicide victims- Female,0.9,
8,Albania,2017,Assault rate per 100K population,4.3,
8,Albania,2017,Kidnapping at the national level- rate per 100K,0.1,
8,Albania,2017,Theft at the national level- rate per 100K population,176.7,
8,Albania,2017,Robbery at the national level- rate per 100K population,6.3,
8,Albania,2017,Total Sexual Violence at the national level- rate per 100K,3.9,
8,Albania,2018,Intentional homicide rates per 100K,2.3,
8,Albania,2018,Percentage of male and female intentional homicide victims- Male,3.5,
8,Albania,2018,Percentage of male and female intentional homicide victims- Female,1.1,
8,Albania,2018,Assault rate per 100K population,4.7,
8,Albania,2018,Kidnapping at the national level- rate per 100K,0.2,
8,Albania,2018,Theft at the national level- rate per 100K population,187.8,
12,Algeria,2005,Intentional homicide rates per 100K,0.6,
12,Algeria,2005,Assault rate per 100K population,99.3,
12,Algeria,2005,Kidnapping at the national level- rate per 100K,0.3,
12,Algeria,2010,Intentional homicide rates per 100K,0.7,
12,Algeria,2010,Assault rate per 100K population,115,
12,Algeria,2010,Kidnapping at the national level- rate per 100K,0.5,
12,Algeria,2010,Theft at the national level- rate per 100K population,141.9,
12,Algeria,2010,Robbery at the national level- rate per 100K population,51.4,
12,Algeria,2010,Total Sexual Violence at the national level- rate per 100K,10.5,
12,Algeria,2015,Intentional homicide rates per 100K,1.4,
12,Algeria,2015,Percentage of male and female intentional homicide victims- Male,2.3,
12,Algeria,2015,Percentage of male and female intentional homicide victims- Female,0.4,
12,Algeria,2015,Assault rate per 100K population,123.6,
12,Algeria,2015,Kidnapping at the national level- rate per 100K,1.3,
12,Algeria,2015,Theft at the national level- rate per 100K population,124.8,
12,Algeria,2015,Robbery at the national level- rate per 100K population,65.5,
12,Algeria,2015,Total Sexual Violence at the national level- rate per 100K,8.5,
16,American Samoa,2005,Intentional homicide rates per 100K,10.1,
16,American Samoa,2010,Intentional homicide rates per 100K,8.9,
16,American Samoa,2016,Intentional homicide rates per 100K,5.4,
20,Andorra,2004,Intentional homicide rates per 100K,1.3,
20,Andorra,2010,Intentional homicide rates per 100K,0,
20,Andorra,2010,Percentage of male and female intentional homicide victims- Male,0,
20,Andorra,2010,Percentage of male and female intentional homicide victims- Female,0,
20,Andorra,2010,Assault rate per 100K population,116,
20,Andorra,2010,Kidnapping at the national level- rate per 100K,0,
20,Andorra,2010,Theft at the national level- rate per 100K population,"1,322.60",
20,Andorra,2010,Robbery at the national level- rate per 100K population,9.5,
20,Andorra,2010,Total Sexual Violence at the national level- rate per 100K,11.8,
20,Andorra,2015,Intentional homicide rates per 100K,0,
20,Andorra,2015,Percentage of male and female intentional homicide victims- Male,0,
20,Andorra,2015,Percentage of male and female intentional homicide victims- Female,0,
20,Andorra,2015,Assault rate per 100K population,170.5,
20,Andorra,2015,Kidnapping at the national level- rate per 100K,0,
20,Andorra,2015,Theft at the national level- rate per 100K population,"1,341.10",
20,Andorra,2015,Robbery at the national level- rate per 100K population,10.3,
20,Andorra,2015,Total Sexual Violence at the national level- rate per 100K,14.1,
24,Angola,2012,Intentional homicide rates per 100K,4.8,
660,Anguilla,2000,Intentional homicide rates per 100K,8.9,
660,Anguilla,2000,Percentage of male and female intentional homicide victims- Female,0,
660,Anguilla,2005,Intentional homicide rates per 100K,0,
660,Anguilla,2009,Intentional homicide rates per 100K,7.5,
660,Anguilla,2009,Percentage of male and female intentional homicide victims- Female,0,
660,Anguilla,2010,Intentional homicide rates per 100K,0,
660,Anguilla,2013,Intentional homicide rates per 100K,7.2,
660,Anguilla,2013,Percentage of male and female intentional homicide victims- Female,0,
660,Anguilla,2014,Intentional homicide rates per 100K,28.3,
28,Antigua and Barbuda,2002,Intentional homicide rates per 100K,6.4,
28,Antigua and Barbuda,2002,Percentage of male and female intentional homicide victims- Male,10.2,
28,Antigua and Barbuda,2002,Percentage of male and female intentional homicide victims- Female,3,
28,Antigua and Barbuda,2005,Intentional homicide rates per 100K,3.7,
28,Antigua and Barbuda,2008,Intentional homicide rates per 100K,18.7,
28,Antigua and Barbuda,2008,Percentage of male and female intentional homicide victims- Male,27,
28,Antigua and Barbuda,2008,Percentage of male and female intentional homicide victims- Female,11.2,
28,Antigua and Barbuda,2010,Intentional homicide rates per 100K,6.8,
28,Antigua and Barbuda,2012,Intentional homicide rates per 100K,11.1,
28,Antigua and Barbuda,2017,Assault rate per 100K population,7.3,
28,Antigua and Barbuda,2017,Kidnapping at the national level- rate per 100K,14.7,
28,Antigua and Barbuda,2017,Theft at the national level- rate per 100K population,"1,117.10",
28,Antigua and Barbuda,2017,Robbery at the national level- rate per 100K population,113.2,
28,Antigua and Barbuda,2017,Total Sexual Violence at the national level- rate per 100K,87,
28,Antigua and Barbuda,2018,Assault rate per 100K population,8.3,
28,Antigua and Barbuda,2018,Kidnapping at the national level- rate per 100K,2.1,
28,Antigua and Barbuda,2018,Theft at the national level- rate per 100K population,929.6,
32,Argentina,2005,Intentional homicide rates per 100K,5.7,
32,Argentina,2005,Assault rate per 100K population,365.4,
32,Argentina,2005,Theft at the national level- rate per 100K population,780.8,
32,Argentina,2008,Intentional homicide rates per 100K,5.9,
32,Argentina,2008,Assault rate per 100K population,362.4,
32,Argentina,2008,Theft at the national level- rate per 100K population,709.1,
32,Argentina,2008,Total Sexual Violence at the national level- rate per 100K,26.5,
32,Argentina,2010,Intentional homicide rates per 100K,5.8,
32,Argentina,2017,Intentional homicide rates per 100K,5.2,
32,Argentina,2017,Percentage of male and female intentional homicide victims- Male,8.8,
32,Argentina,2017,Percentage of male and female intentional homicide victims- Female,1.8,
32,Argentina,2017,Assault rate per 100K population,323.5,
32,Argentina,2017,Theft at the national level- rate per 100K population,579.6,
32,Argentina,2017,Robbery at the national level- rate per 100K population,922.6,
32,Argentina,2017,Total Sexual Violence at the national level- rate per 100K,32.5,
32,Argentina,2018,Intentional homicide rates per 100K,5.3,
32,Argentina,2018,Percentage of male and female intentional homicide victims- Male,9.1,
32,Argentina,2018,Percentage of male and female intentional homicide victims- Female,1.7,
32,Argentina,2018,Assault rate per 100K population,306.5,
32,Argentina,2018,Theft at the national level- rate per 100K population,625.5,
51,Armenia,2005,Intentional homicide rates per 100K,1.9,
51,Armenia,2005,Percentage of male and female intentional homicide victims- Male,3.4,
51,Armenia,2005,Percentage of male and female intentional homicide victims- Female,0.7,
51,Armenia,2005,Assault rate per 100K population,6,
51,Armenia,2005,Kidnapping at the national level- rate per 100K,0.7,
51,Armenia,2005,Theft at the national level- rate per 100K population,82.6,
51,Armenia,2005,Total Sexual Violence at the national level- rate per 100K,1.7,
51,Armenia,2010,Intentional homicide rates per 100K,1.9,
51,Armenia,2010,Percentage of male and female intentional homicide victims- Male,3.4,
51,Armenia,2010,Percentage of male and female intentional homicide victims- Female,0.7,
51,Armenia,2010,Assault rate per 100K population,5.4,
51,Armenia,2010,Kidnapping at the national level- rate per 100K,1.4,
51,Armenia,2010,Theft at the national level- rate per 100K population,127.3,
51,Armenia,2010,Robbery at the national level- rate per 100K population,12.4,
51,Armenia,2010,Total Sexual Violence at the national level- rate per 100K,2.8,
51,Armenia,2017,Intentional homicide rates per 100K,2.4,
51,Armenia,2017,Percentage of male and female intentional homicide victims- Male,4.3,
51,Armenia,2017,Percentage of male and female intentional homicide victims- Female,0.7,
51,Armenia,2017,Assault rate per 100K population,6.2,
51,Armenia,2017,Kidnapping at the national level- rate per 100K,1.2,
51,Armenia,2017,Theft at the national level- rate per 100K population,202.5,
51,Armenia,2017,Robbery at the national level- rate per 100K population,7.8,
51,Armenia,2017,Total Sexual Violence at the national level- rate per 100K,3.5,
51,Armenia,2018,Intentional homicide rates per 100K,1.7,
51,Armenia,2018,Percentage of male and female intentional homicide victims- Male,2.8,
51,Armenia,2018,Percentage of male and female intentional homicide victims- Female,0.7,
51,Armenia,2018,Assault rate per 100K population,6.1,
51,Armenia,2018,Kidnapping at the national level- rate per 100K,1.9,
51,Armenia,2018,Theft at the national level- rate per 100K population,240.5,
533,Aruba,2005,Intentional homicide rates per 100K,6,
533,Aruba,2005,Percentage of male and female intentional homicide victims- Male,10.5,
533,Aruba,2005,Percentage of male and female intentional homicide victims- Female,1.9,
533,Aruba,2010,Intentional homicide rates per 100K,3.9,
533,Aruba,2010,Percentage of male and female intentional homicide victims- Male,8.3,
533,Aruba,2010,Percentage of male and female intentional homicide victims- Female,0,
533,Aruba,2014,Intentional homicide rates per 100K,1.9,
533,Aruba,2014,Percentage of male and female intentional homicide victims- Male,4.1,
533,Aruba,2014,Percentage of male and female intentional homicide victims- Female,0,
36,Australia,2005,Intentional homicide rates per 100K,1.3,
36,Australia,2005,Percentage of male and female intentional homicide victims- Male,1.6,
36,Australia,2005,Percentage of male and female intentional homicide victims- Female,0.9,
36,Australia,2005,Theft at the national level- rate per 100K population,"2,568.70",
36,Australia,2010,Intentional homicide rates per 100K,1,
36,Australia,2010,Percentage of male and female intentional homicide victims- Male,1.2,
36,Australia,2010,Percentage of male and female intentional homicide victims- Female,0.8,
36,Australia,2010,Assault rate per 100K population,309.9,
36,Australia,2010,Kidnapping at the national level- rate per 100K,2.8,
36,Australia,2010,Theft at the national level- rate per 100K population,"2,154.20",
36,Australia,2010,Robbery at the national level- rate per 100K population,66.1,
36,Australia,2010,Total Sexual Violence at the national level- rate per 100K,85.1,
36,Australia,2017,Intentional homicide rates per 100K,0.8,
36,Australia,2017,Percentage of male and female intentional homicide victims- Male,1.2,
36,Australia,2017,Percentage of male and female intentional homicide victims- Female,0.5,
36,Australia,2017,Assault rate per 100K population,296.8,
36,Australia,2017,Kidnapping at the national level- rate per 100K,2,
36,Australia,2017,Theft at the national level- rate per 100K population,"2,289.40",
36,Australia,2017,Robbery at the national level- rate per 100K population,39,
36,Australia,2017,Total Sexual Violence at the national level- rate per 100K,101.5,
36,Australia,2018,Intentional homicide rates per 100K,0.9,
36,Australia,2018,Percentage of male and female intentional homicide victims- Male,1.1,
36,Australia,2018,Percentage of male and female intentional homicide victims- Female,0.7,
36,Australia,2018,Assault rate per 100K population,292,
36,Australia,2018,Kidnapping at the national level- rate per 100K,1.8,
36,Australia,2018,Theft at the national level- rate per 100K population,"2,332.50",
40,Austria,2005,Intentional homicide rates per 100K,0.7,
40,Austria,2005,Percentage of male and female intentional homicide victims- Male,0.7,
40,Austria,2005,Percentage of male and female intentional homicide victims- Female,0.6,
40,Austria,2005,Assault rate per 100K population,43.8,
40,Austria,2005,Kidnapping at the national level- rate per 100K,0.1,
40,Austria,2005,Theft at the national level- rate per 100K population,"2,144.80",
40,Austria,2005,Total Sexual Violence at the national level- rate per 100K,20.3,
40,Austria,2010,Intentional homicide rates per 100K,0.7,
40,Austria,2010,Percentage of male and female intentional homicide victims- Male,0.7,
40,Austria,2010,Percentage of male and female intentional homicide victims- Female,0.7,
40,Austria,2010,Assault rate per 100K population,42.9,
40,Austria,2010,Kidnapping at the national level- rate per 100K,0.1,
40,Austria,2010,Theft at the national level- rate per 100K population,"1,853.20",
40,Austria,2010,Robbery at the national level- rate per 100K population,51.2,
40,Austria,2010,Total Sexual Violence at the national level- rate per 100K,39.2,
40,Austria,2017,Intentional homicide rates per 100K,0.8,
40,Austria,2017,Percentage of male and female intentional homicide victims- Male,0.8,
40,Austria,2017,Percentage of male and female intentional homicide victims- Female,0.8,
40,Austria,2017,Assault rate per 100K population,41.1,
40,Austria,2017,Kidnapping at the national level- rate per 100K,0,
40,Austria,2017,Theft at the national level- rate per 100K population,"1,421.50",
40,Austria,2017,Robbery at the national level- rate per 100K population,29.6,
40,Austria,2017,Total Sexual Violence at the national level- rate per 100K,48.2,
40,Austria,2018,Intentional homicide rates per 100K,1,
40,Austria,2018,Percentage of male and female intentional homicide victims- Male,1,
40,Austria,2018,Percentage of male and female intentional homicide victims- Female,1,
40,Austria,2018,Assault rate per 100K population,41.7,
40,Austria,2018,Kidnapping at the national level- rate per 100K,0.1,
40,Austria,2018,Theft at the national level- rate per 100K population,"1,266.50",
31,Azerbaijan,2005,Intentional homicide rates per 100K,2.2,
31,Azerbaijan,2005,Assault rate per 100K population,1.9,
31,Azerbaijan,2005,Kidnapping at the national level- rate per 100K,0.3,
31,Azerbaijan,2005,Theft at the national level- rate per 100K population,25.2,
31,Azerbaijan,2010,Intentional homicide rates per 100K,2.3,
31,Azerbaijan,2010,Percentage of male and female intentional homicide victims- Male,3.2,
31,Azerbaijan,2010,Percentage of male and female intentional homicide victims- Female,1.4,
31,Azerbaijan,2010,Assault rate per 100K population,1.9,
31,Azerbaijan,2010,Kidnapping at the national level- rate per 100K,0,
31,Azerbaijan,2010,Theft at the national level- rate per 100K population,42.8,
31,Azerbaijan,2010,Robbery at the national level- rate per 100K population,3.3,
31,Azerbaijan,2010,Total Sexual Violence at the national level- rate per 100K,2.3,
31,Azerbaijan,2017,Intentional homicide rates per 100K,2,
31,Azerbaijan,2017,Percentage of male and female intentional homicide victims- Male,2.5,
31,Azerbaijan,2017,Percentage of male and female intentional homicide victims- Female,1.6,
31,Azerbaijan,2017,Assault rate per 100K population,3.8,
31,Azerbaijan,2017,Kidnapping at the national level- rate per 100K,0.1,
31,Azerbaijan,2017,Theft at the national level- rate per 100K population,29,
31,Azerbaijan,2017,Robbery at the national level- rate per 100K population,4,
31,Azerbaijan,2017,Total Sexual Violence at the national level- rate per 100K,1.2,
31,Azerbaijan,2018,Intentional homicide rates per 100K,2.2,
31,Azerbaijan,2018,Percentage of male and female intentional homicide victims- Male,3.1,
31,Azerbaijan,2018,Percentage of male and female intentional homicide victims- Female,1.3,
31,Azerbaijan,2018,Assault rate per 100K population,3.1,
31,Azerbaijan,2018,Kidnapping at the national level- rate per 100K,0,
31,Azerbaijan,2018,Theft at the national level- rate per 100K population,24.5,
44,Bahamas,2005,Intentional homicide rates per 100K,16,
44,Bahamas,2005,Percentage of male and female intentional homicide victims- Male,27.9,
44,Bahamas,2005,Percentage of male and female intentional homicide victims- Female,4.8,
44,Bahamas,2005,Kidnapping at the national level- rate per 100K,7.4,
