Cod,Region/Country/Area,Year,Series,Value
202,Sub-Saharan Africa,2020,Labour force participation - Total,67.6
202,Sub-Saharan Africa,2020,Unemployment rate - Total,5.9
202,Sub-Saharan Africa,2020,Labour force participation - Male,72.7
202,Sub-Saharan Africa,2020,Unemployment rate - Male,5.6
202,Sub-Saharan Africa,2020,Labour force participation - Female,62.7
202,Sub-Saharan Africa,2020,Unemployment rate - Female,6.2
14,Eastern Africa,2005,Labour force participation - Total,78.3
14,Eastern Africa,2005,Unemployment rate - Total,3.9
14,Eastern Africa,2005,Labour force participation - Male,83.6
14,Eastern Africa,2005,Unemployment rate - Male,3.6
14,Eastern Africa,2005,Labour force participation - Female,73.2
14,Eastern Africa,2005,Unemployment rate - Female,4.2
14,Eastern Africa,2010,Labour force participation - Total,78.4
14,Eastern Africa,2010,Unemployment rate - Total,4
14,Eastern Africa,2010,Labour force participation - Male,83.6
14,Eastern Africa,2010,Unemployment rate - Male,3.6
14,Eastern Africa,2010,Labour force participation - Female,73.3
14,Eastern Africa,2010,Unemployment rate - Female,4.4
14,Eastern Africa,2015,Labour force participation - Total,77.7
14,Eastern Africa,2015,Unemployment rate - Total,3.3
14,Eastern Africa,2015,Labour force participation - Male,82.9
14,Eastern Africa,2015,Unemployment rate - Male,3
14,Eastern Africa,2015,Labour force participation - Female,72.7
14,Eastern Africa,2015,Unemployment rate - Female,3.7
14,Eastern Africa,2020,Labour force participation - Total,77.4
14,Eastern Africa,2020,Unemployment rate - Total,3.2
14,Eastern Africa,2020,Labour force participation - Male,82
14,Eastern Africa,2020,Unemployment rate - Male,2.9
14,Eastern Africa,2020,Labour force participation - Female,72.9
14,Eastern Africa,2020,Unemployment rate - Female,3.6
17,Middle Africa,2005,Labour force participation - Total,73.7
17,Middle Africa,2005,Unemployment rate - Total,3.9
17,Middle Africa,2005,Labour force participation - Male,76.4
17,Middle Africa,2005,Unemployment rate - Male,4.3
17,Middle Africa,2005,Labour force participation - Female,71.1
17,Middle Africa,2005,Unemployment rate - Female,3.5
17,Middle Africa,2010,Labour force participation - Total,70.3
17,Middle Africa,2010,Unemployment rate - Total,5.4
17,Middle Africa,2010,Labour force participation - Male,73.8
17,Middle Africa,2010,Unemployment rate - Male,5.2
17,Middle Africa,2010,Labour force participation - Female,66.8
17,Middle Africa,2010,Unemployment rate - Female,5.6
17,Middle Africa,2015,Labour force participation - Total,69.1
17,Middle Africa,2015,Unemployment rate - Total,5
17,Middle Africa,2015,Labour force participation - Male,72.8
17,Middle Africa,2015,Unemployment rate - Male,5.1
17,Middle Africa,2015,Labour force participation - Female,65.6
17,Middle Africa,2015,Unemployment rate - Female,4.8
17,Middle Africa,2020,Labour force participation - Total,68.7
17,Middle Africa,2020,Unemployment rate - Total,4.8
17,Middle Africa,2020,Labour force participation - Male,72.2
17,Middle Africa,2020,Unemployment rate - Male,5
17,Middle Africa,2020,Labour force participation - Female,65.3
17,Middle Africa,2020,Unemployment rate - Female,4.5
18,Southern Africa,2005,Labour force participation - Total,55.9
18,Southern Africa,2005,Unemployment rate - Total,28.7
18,Southern Africa,2005,Labour force participation - Male,64.5
18,Southern Africa,2005,Unemployment rate - Male,23.4
18,Southern Africa,2005,Labour force participation - Female,47.8
18,Southern Africa,2005,Unemployment rate - Female,35.6
18,Southern Africa,2010,Labour force participation - Total,53.4
18,Southern Africa,2010,Unemployment rate - Total,24.5
18,Southern Africa,2010,Labour force participation - Male,61.2
18,Southern Africa,2010,Unemployment rate - Male,22.5
18,Southern Africa,2010,Labour force participation - Female,46
18,Southern Africa,2010,Unemployment rate - Female,27
18,Southern Africa,2015,Labour force participation - Total,56.4
18,Southern Africa,2015,Unemployment rate - Total,24.7
18,Southern Africa,2015,Labour force participation - Male,63.4
18,Southern Africa,2015,Unemployment rate - Male,22.7
18,Southern Africa,2015,Labour force participation - Female,49.7
18,Southern Africa,2015,Unemployment rate - Female,27.1
18,Southern Africa,2020,Labour force participation - Total,56.9
18,Southern Africa,2020,Unemployment rate - Total,27.5
18,Southern Africa,2020,Labour force participation - Male,63.5
18,Southern Africa,2020,Unemployment rate - Male,25.6
18,Southern Africa,2020,Labour force participation - Female,50.7
18,Southern Africa,2020,Unemployment rate - Female,29.8
11,Western Africa,2005,Labour force participation - Total,63.9
11,Western Africa,2005,Unemployment rate - Total,4.5
11,Western Africa,2005,Labour force participation - Male,70.3
11,Western Africa,2005,Unemployment rate - Male,4.5
11,Western Africa,2005,Labour force participation - Female,57.5
11,Western Africa,2005,Unemployment rate - Female,4.5
11,Western Africa,2010,Labour force participation - Total,63.3
11,Western Africa,2010,Unemployment rate - Total,4.4
11,Western Africa,2010,Labour force participation - Male,69.5
11,Western Africa,2010,Unemployment rate - Male,4.2
11,Western Africa,2010,Labour force participation - Female,57.1
11,Western Africa,2010,Unemployment rate - Female,4.6
11,Western Africa,2015,Labour force participation - Total,59.1
11,Western Africa,2015,Unemployment rate - Total,4.6
11,Western Africa,2015,Labour force participation - Male,65.2
11,Western Africa,2015,Unemployment rate - Male,4.1
11,Western Africa,2015,Labour force participation - Female,53.1
11,Western Africa,2015,Unemployment rate - Female,5.1
11,Western Africa,2020,Labour force participation - Total,58.4
11,Western Africa,2020,Unemployment rate - Total,6
11,Western Africa,2020,Labour force participation - Male,64.3
11,Western Africa,2020,Unemployment rate - Male,5.5
11,Western Africa,2020,Labour force participation - Female,52.5
11,Western Africa,2020,Unemployment rate - Female,6.5
19,Americas,2005,Labour force participation - Total,64.6
19,Americas,2005,Unemployment rate - Total,6.8
19,Americas,2005,Labour force participation - Male,76.2
19,Americas,2005,Unemployment rate - Male,6
19,Americas,2005,Labour force participation - Female,53.5
19,Americas,2005,Unemployment rate - Female,8
19,Americas,2010,Labour force participation - Total,63.9
19,Americas,2010,Unemployment rate - Total,7.9
19,Americas,2010,Labour force participation - Male,74.8
19,Americas,2010,Unemployment rate - Male,7.5
19,Americas,2010,Labour force participation - Female,53.6
19,Americas,2010,Unemployment rate - Female,8.6
19,Americas,2015,Labour force participation - Total,63.3
19,Americas,2015,Unemployment rate - Total,6.2
19,Americas,2015,Labour force participation - Male,73.9
19,Americas,2015,Unemployment rate - Male,5.7
19,Americas,2015,Labour force participation - Female,53.1
19,Americas,2015,Unemployment rate - Female,6.9
19,Americas,2020,Labour force participation - Total,63.3
19,Americas,2020,Unemployment rate - Total,6.6
19,Americas,2020,Labour force participation - Male,73.4
19,Americas,2020,Unemployment rate - Male,5.9
19,Americas,2020,Labour force participation - Female,53.6
19,Americas,2020,Unemployment rate - Female,7.5
21,Northern America,2005,Labour force participation - Total,65.2
21,Northern America,2005,Unemployment rate - Total,5.3
21,Northern America,2005,Labour force participation - Male,72.2
21,Northern America,2005,Unemployment rate - Male,5.3
21,Northern America,2005,Labour force participation - Female,58.5
21,Northern America,2005,Unemployment rate - Female,5.2
21,Northern America,2010,Labour force participation - Total,63.9
21,Northern America,2010,Unemployment rate - Total,9.5
21,Northern America,2010,Labour force participation - Male,70.1
21,Northern America,2010,Unemployment rate - Male,10.3
21,Northern America,2010,Labour force participation - Female,58
21,Northern America,2010,Unemployment rate - Female,8.5
21,Northern America,2015,Labour force participation - Total,62.4
21,Northern America,2015,Unemployment rate - Total,5.5
21,Northern America,2015,Labour force participation - Male,68.6
21,Northern America,2015,Unemployment rate - Male,5.6
21,Northern America,2015,Labour force participation - Female,56.4
21,Northern America,2015,Unemployment rate - Female,5.3
21,Northern America,2020,Labour force participation - Total,62.1
21,Northern America,2020,Unemployment rate - Total,4
21,Northern America,2020,Labour force participation - Male,68.1
21,Northern America,2020,Unemployment rate - Male,4.1
21,Northern America,2020,Labour force participation - Female,56.4
21,Northern America,2020,Unemployment rate - Female,4
419,Latin America & the Caribbean,2005,Labour force participation - Total,64.1
419,Latin America & the Caribbean,2005,Unemployment rate - Total,7.9
419,Latin America & the Caribbean,2005,Labour force participation - Male,78.8
419,Latin America & the Caribbean,2005,Unemployment rate - Male,6.5
419,Latin America & the Caribbean,2005,Labour force participation - Female,50.2
419,Latin America & the Caribbean,2005,Unemployment rate - Female,10.1
419,Latin America & the Caribbean,2010,Labour force participation - Total,64
419,Latin America & the Caribbean,2010,Unemployment rate - Total,7
419,Latin America & the Caribbean,2010,Labour force participation - Male,77.9
419,Latin America & the Caribbean,2010,Unemployment rate - Male,5.8
419,Latin America & the Caribbean,2010,Labour force participation - Female,50.8
419,Latin America & the Caribbean,2010,Unemployment rate - Female,8.7
419,Latin America & the Caribbean,2015,Labour force participation - Total,63.8
419,Latin America & the Caribbean,2015,Unemployment rate - Total,6.7
419,Latin America & the Caribbean,2015,Labour force participation - Male,77.2
419,Latin America & the Caribbean,2015,Unemployment rate - Male,5.8
419,Latin America & the Caribbean,2015,Labour force participation - Female,51.1
419,Latin America & the Caribbean,2015,Unemployment rate - Female,8
419,Latin America & the Caribbean,2020,Labour force participation - Total,64
419,Latin America & the Caribbean,2020,Unemployment rate - Total,8.1
419,Latin America & the Caribbean,2020,Labour force participation - Male,76.6
419,Latin America & the Caribbean,2020,Unemployment rate - Male,6.9
419,Latin America & the Caribbean,2020,Labour force participation - Female,52
419,Latin America & the Caribbean,2020,Unemployment rate - Female,9.8
29,Caribbean,2005,Labour force participation - Total,57.3
29,Caribbean,2005,Unemployment rate - Total,7.8
29,Caribbean,2005,Labour force participation - Male,69.7
29,Caribbean,2005,Unemployment rate - Male,6.4
29,Caribbean,2005,Labour force participation - Female,45.4
29,Caribbean,2005,Unemployment rate - Female,9.9
29,Caribbean,2010,Labour force participation - Total,58.2
29,Caribbean,2010,Unemployment rate - Total,8.5
29,Caribbean,2010,Labour force participation - Male,69.7
29,Caribbean,2010,Unemployment rate - Male,7.2
29,Caribbean,2010,Labour force participation - Female,47.1
29,Caribbean,2010,Unemployment rate - Female,10.2
29,Caribbean,2015,Labour force participation - Total,59.4
29,Caribbean,2015,Unemployment rate - Total,8.5
29,Caribbean,2015,Labour force participation - Male,70.1
29,Caribbean,2015,Unemployment rate - Male,6.8
29,Caribbean,2015,Labour force participation - Female,49.2
29,Caribbean,2015,Unemployment rate - Female,10.8
29,Caribbean,2020,Labour force participation - Total,59.9
29,Caribbean,2020,Unemployment rate - Total,7.3
29,Caribbean,2020,Labour force participation - Male,70.2
29,Caribbean,2020,Unemployment rate - Male,5.8
29,Caribbean,2020,Labour force participation - Female,50.1
29,Caribbean,2020,Unemployment rate - Female,9.4
13,Central America,2005,Labour force participation - Total,61.1
13,Central America,2005,Unemployment rate - Total,3.9
13,Central America,2005,Labour force participation - Male,81.8
13,Central America,2005,Unemployment rate - Male,3.7
13,Central America,2005,Labour force participation - Female,42
13,Central America,2005,Unemployment rate - Female,4.3
13,Central America,2010,Labour force participation - Total,61.1
13,Central America,2010,Unemployment rate - Total,5.2
13,Central America,2010,Labour force participation - Male,80.3
13,Central America,2010,Unemployment rate - Male,5.1
13,Central America,2010,Labour force participation - Female,43.4
13,Central America,2010,Unemployment rate - Female,5.3
13,Central America,2015,Labour force participation - Total,61.4
13,Central America,2015,Unemployment rate - Total,4.4
13,Central America,2015,Labour force participation - Male,79.8
13,Central America,2015,Unemployment rate - Male,4.1
13,Central America,2015,Labour force participation - Female,44.2
13,Central America,2015,Unemployment rate - Female,4.9
13,Central America,2020,Labour force participation - Total,61.6
13,Central America,2020,Unemployment rate - Total,4.1
13,Central America,2020,Labour force participation - Male,79.6
13,Central America,2020,Unemployment rate - Male,3.7
13,Central America,2020,Labour force participation - Female,44.9
13,Central America,2020,Unemployment rate - Female,4.7
5,South America,2005,Labour force participation - Total,66
5,South America,2005,Unemployment rate - Total,9.3
5,South America,2005,Labour force participation - Male,78.7
5,South America,2005,Unemployment rate - Male,7.5
5,South America,2005,Labour force participation - Female,53.8
5,South America,2005,Unemployment rate - Female,11.8
5,South America,2010,Labour force participation - Total,65.6
5,South America,2010,Unemployment rate - Total,7.4
5,South America,2010,Labour force participation - Male,77.9
5,South America,2010,Unemployment rate - Male,5.9
5,South America,2010,Labour force participation - Female,53.9
5,South America,2010,Unemployment rate - Female,9.6
5,South America,2015,Labour force participation - Total,65.2
5,South America,2015,Unemployment rate - Total,7.4
5,South America,2015,Labour force participation - Male,76.9
5,South America,2015,Unemployment rate - Male,6.3
5,South America,2015,Labour force participation - Female,54
5,South America,2015,Unemployment rate - Female,8.8
5,South America,2020,Labour force participation - Total,65.3
5,South America,2020,Unemployment rate - Total,9.7
5,South America,2020,Labour force participation - Male,76.1
5,South America,2020,Unemployment rate - Male,8.4
5,South America,2020,Labour force participation - Female,55
5,South America,2020,Unemployment rate - Female,11.5
143,Central Asia,2005,Labour force participation - Total,62.6
143,Central Asia,2005,Unemployment rate - Total,7.9
143,Central Asia,2005,Labour force participation - Male,72.7
143,Central Asia,2005,Unemployment rate - Male,7.7
143,Central Asia,2005,Labour force participation - Female,53.2
143,Central Asia,2005,Unemployment rate - Female,8.1
143,Central Asia,2010,Labour force participation - Total,63.1
143,Central Asia,2010,Unemployment rate - Total,6.1
143,Central Asia,2010,Labour force participation - Male,73.6
143,Central Asia,2010,Unemployment rate - Male,6.1
143,Central Asia,2010,Labour force participation - Female,53.2
143,Central Asia,2010,Unemployment rate - Female,6.1
143,Central Asia,2015,Labour force participation - Total,63.6
143,Central Asia,2015,Unemployment rate - Total,5.7
143,Central Asia,2015,Labour force participation - Male,74.4
143,Central Asia,2015,Unemployment rate - Male,5.7
143,Central Asia,2015,Labour force participation - Female,53.3
143,Central Asia,2015,Unemployment rate - Female,5.6
143,Central Asia,2020,Labour force participation - Total,62.7
143,Central Asia,2020,Unemployment rate - Total,5.9
143,Central Asia,2020,Labour force participation - Male,74.2
143,Central Asia,2020,Unemployment rate - Male,6
143,Central Asia,2020,Labour force participation - Female,51.8
143,Central Asia,2020,Unemployment rate - Female,5.8
30,Eastern Asia,2005,Labour force participation - Total,71.9
30,Eastern Asia,2005,Unemployment rate - Total,4.5
30,Eastern Asia,2005,Labour force participation - Male,79.1
30,Eastern Asia,2005,Unemployment rate - Male,4.9
30,Eastern Asia,2005,Labour force participation - Female,64.4
30,Eastern Asia,2005,Unemployment rate - Female,3.9
30,Eastern Asia,2010,Labour force participation - Total,69.8
30,Eastern Asia,2010,Unemployment rate - Total,4.5
30,Eastern Asia,2010,Labour force participation - Male,77.5
30,Eastern Asia,2010,Unemployment rate - Male,5
30,Eastern Asia,2010,Labour force participation - Female,62
30,Eastern Asia,2010,Unemployment rate - Female,3.9
30,Eastern Asia,2015,Labour force participation - Total,68.7
30,Eastern Asia,2015,Unemployment rate - Total,4.5
30,Eastern Asia,2015,Labour force participation - Male,76.3
30,Eastern Asia,2015,Unemployment rate - Male,4.9
30,Eastern Asia,2015,Labour force participation - Female,61
30,Eastern Asia,2015,Unemployment rate - Female,3.9
30,Eastern Asia,2020,Labour force participation - Total,66.9
30,Eastern Asia,2020,Unemployment rate - Total,4.2
30,Eastern Asia,2020,Labour force participation - Male,74.5
30,Eastern Asia,2020,Unemployment rate - Male,4.6
30,Eastern Asia,2020,Labour force participation - Female,59
30,Eastern Asia,2020,Unemployment rate - Female,3.6
35,South-eastern Asia,2005,Labour force participation - Total,67.5
35,South-eastern Asia,2005,Unemployment rate - Total,4.4
35,South-eastern Asia,2005,Labour force participation - Male,81
35,South-eastern Asia,2005,Unemployment rate - Male,4.1
35,South-eastern Asia,2005,Labour force participation - Female,54.4
35,South-eastern Asia,2005,Unemployment rate - Female,4.9
35,South-eastern Asia,2010,Labour force participation - Total,68.7
35,South-eastern Asia,2010,Unemployment rate - Total,3.2
35,South-eastern Asia,2010,Labour force participation - Male,81.1
35,South-eastern Asia,2010,Unemployment rate - Male,3.1
35,South-eastern Asia,2010,Labour force participation - Female,56.5
35,South-eastern Asia,2010,Unemployment rate - Female,3.4
35,South-eastern Asia,2015,Labour force participation - Total,68.3
35,South-eastern Asia,2015,Unemployment rate - Total,2.9
35,South-eastern Asia,2015,Labour force participation - Male,80.5
35,South-eastern Asia,2015,Unemployment rate - Male,3
35,South-eastern Asia,2015,Labour force participation - Female,56.2
35,South-eastern Asia,2015,Unemployment rate - Female,2.8
35,South-eastern Asia,2020,Labour force participation - Total,67.5
35,South-eastern Asia,2020,Unemployment rate - Total,3.1
35,South-eastern Asia,2020,Labour force participation - Male,79.3
35,South-eastern Asia,2020,Unemployment rate - Male,3.1
35,South-eastern Asia,2020,Labour force participation - Female,56
35,South-eastern Asia,2020,Unemployment rate - Female,3
34,Southern Asia,2005,Labour force participation - Total,57.2
34,Southern Asia,2005,Unemployment rate - Total,5.3
34,Southern Asia,2005,Labour force participation - Male,82.6
34,Southern Asia,2005,Unemployment rate - Male,5.2
34,Southern Asia,2005,Labour force participation - Female,30.3
34,Southern Asia,2005,Unemployment rate - Female,5.9
34,Southern Asia,2010,Labour force participation - Total,53.9
34,Southern Asia,2010,Unemployment rate - Total,5.2
34,Southern Asia,2010,Labour force participation - Male,80.2
34,Southern Asia,2010,Unemployment rate - Male,5.2
34,Southern Asia,2010,Labour force participation - Female,26
34,Southern Asia,2010,Unemployment rate - Female,5.5
34,Southern Asia,2015,Labour force participation - Total,51.6
34,Southern Asia,2015,Unemployment rate - Total,5.4
34,Southern Asia,2015,Labour force participation - Male,78.1
34,Southern Asia,2015,Unemployment rate - Male,5.2
34,Southern Asia,2015,Labour force participation - Female,23.7
34,Southern Asia,2015,Unemployment rate - Female,6.2
34,Southern Asia,2020,Labour force participation - Total,50.7
34,Southern Asia,2020,Unemployment rate - Total,5.4
34,Southern Asia,2020,Labour force participation - Male,76.9
34,Southern Asia,2020,Unemployment rate - Male,5.3
34,Southern Asia,2020,Labour force participation - Female,23.1
34,Southern Asia,2020,Unemployment rate - Female,5.8
145,Western Asia,2005,Labour force participation - Total,48.3
145,Western Asia,2005,Unemployment rate - Total,8.1
145,Western Asia,2005,Labour force participation - Male,75
145,Western Asia,2005,Unemployment rate - Male,7.1
145,Western Asia,2005,Labour force participation - Female,16.7
145,Western Asia,2005,Unemployment rate - Female,13.1
145,Western Asia,2010,Labour force participation - Total,49.8
145,Western Asia,2010,Unemployment rate - Total,7.2
145,Western Asia,2010,Labour force participation - Male,76
145,Western Asia,2010,Unemployment rate - Male,5.9
145,Western Asia,2010,Labour force participation - Female,16.9
145,Western Asia,2010,Unemployment rate - Female,14
145,Western Asia,2015,Labour force participation - Total,51.4
145,Western Asia,2015,Unemployment rate - Total,7.5
145,Western Asia,2015,Labour force participation - Male,77.6
145,Western Asia,2015,Unemployment rate - Male,5.6
145,Western Asia,2015,Labour force participation - Female,18.6
145,Western Asia,2015,Unemployment rate - Female,17
145,Western Asia,2020,Labour force participation - Total,51.3
145,Western Asia,2020,Unemployment rate - Total,8
145,Western Asia,2020,Labour force participation - Male,77.7
145,Western Asia,2020,Unemployment rate - Male,6.1
145,Western Asia,2020,Labour force participation - Female,18
145,Western Asia,2020,Unemployment rate - Female,18.6
134,Caucasus,2005,Labour force participation - Total,50.1
134,Caucasus,2005,Unemployment rate - Total,10.4
134,Caucasus,2005,Labour force participation - Male,69.8
134,Caucasus,2005,Unemployment rate - Male,10.3
134,Caucasus,2005,Labour force participation - Female,31.8
134,Caucasus,2005,Unemployment rate - Female,10.6
134,Caucasus,2010,Labour force participation - Total,51.8
134,Caucasus,2010,Unemployment rate - Total,10.7
134,Caucasus,2010,Labour force participation - Male,69.7
134,Caucasus,2010,Unemployment rate - Male,10.4
134,Caucasus,2010,Labour force participation - Female,35
134,Caucasus,2010,Unemployment rate - Female,11.1
134,Caucasus,2015,Labour force participation - Total,54.4
134,Caucasus,2015,Unemployment rate - Total,9.9
134,Caucasus,2015,Labour force participation - Male,71.4
134,Caucasus,2015,Unemployment rate - Male,9.1
134,Caucasus,2015,Labour force participation - Female,38.5
134,Caucasus,2015,Unemployment rate - Female,11.1
134,Caucasus,2020,Labour force participation - Total,55.6
134,Caucasus,2020,Unemployment rate - Total,11.5
134,Caucasus,2020,Labour force participation - Male,71.9
134,Caucasus,2020,Unemployment rate - Male,10.8
134,Caucasus,2020,Labour force participation - Female,40.1
134,Caucasus,2020,Unemployment rate - Female,12.7
151,Eastern Europe,2005,Labour force participation - Total,57.8
151,Eastern Europe,2005,Unemployment rate - Total,8.7
151,Eastern Europe,2005,Labour force participation - Male,65.1
151,Eastern Europe,2005,Unemployment rate - Male,8.8
151,Eastern Europe,2005,Labour force participation - Female,51.6
151,Eastern Europe,2005,Unemployment rate - Female,8.6
151,Eastern Europe,2010,Labour force participation - Total,58.8
151,Eastern Europe,2010,Unemployment rate - Total,8
151,Eastern Europe,2010,Labour force participation - Male,66.7
151,Eastern Europe,2010,Unemployment rate - Male,8.5
151,Eastern Europe,2010,Labour force participation - Female,52
151,Eastern Europe,2010,Unemployment rate - Female,7.4
151,Eastern Europe,2015,Labour force participation - Total,59.2
151,Eastern Europe,2015,Unemployment rate - Total,6.6
151,Eastern Europe,2015,Labour force participation - Male,67.7
151,Eastern Europe,2015,Unemployment rate - Male,6.9
151,Eastern Europe,2015,Labour force participation - Female,52
151,Eastern Europe,2015,Unemployment rate - Female,6.2
151,Eastern Europe,2020,Labour force participation - Total,58.5
151,Eastern Europe,2020,Unemployment rate - Total,4.7
151,Eastern Europe,2020,Labour force participation - Male,67
151,Eastern Europe,2020,Unemployment rate - Male,5
151,Eastern Europe,2020,Labour force participation - Female,51.3
151,Eastern Europe,2020,Unemployment rate - Female,4.5
154,Northern Europe,2005,Labour force participation - Total,62
154,Northern Europe,2005,Labour force participation - Male,68.9
154,Northern Europe,2005,Labour force participation - Female,55.6
154,Northern Europe,2010,Labour force participation - Total,62
154,Northern Europe,2010,Labour force participation - Male,68.1
154,Northern Europe,2010,Labour force participation - Female,56.3
154,Northern Europe,2015,Labour force participation - Total,62.3
154,Northern Europe,2015,Labour force participation - Male,67.8
154,Northern Europe,2015,Labour force participation - Female,57.1
154,Northern Europe,2020,Labour force participation - Total,62.7
154,Northern Europe,2020,Labour force participation - Male,67.6
154,Northern Europe,2020,Labour force participation - Female,57.9
39,Southern Europe,2005,Labour force participation - Total,53.3
39,Southern Europe,2005,Unemployment rate - Total,10.4
39,Southern Europe,2005,Labour force participation - Male,64.4
39,Southern Europe,2005,Unemployment rate - Male,8.4
39,Southern Europe,2005,Labour force participation - Female,42.8
39,Southern Europe,2005,Unemployment rate - Female,13.1
39,Southern Europe,2010,Labour force participation - Total,53.4
39,Southern Europe,2010,Unemployment rate - Total,14.3
39,Southern Europe,2010,Labour force participation - Male,62.7
39,Southern Europe,2010,Unemployment rate - Male,13.5
39,Southern Europe,2010,Labour force participation - Female,44.7
39,Southern Europe,2010,Unemployment rate - Female,15.4
39,Southern Europe,2015,Labour force participation - Total,53.2
39,Southern Europe,2015,Unemployment rate - Total,17.2
39,Southern Europe,2015,Labour force participation - Male,61.4
39,Southern Europe,2015,Unemployment rate - Male,16.2
39,Southern Europe,2015,Labour force participation - Female,45.6
39,Southern Europe,2015,Unemployment rate - Female,18.5
39,Southern Europe,2020,Labour force participation - Total,53.1
39,Southern Europe,2020,Unemployment rate - Total,11.3
39,Southern Europe,2020,Labour force participation - Male,60.9
39,Southern Europe,2020,Unemployment rate - Male,9.9
39,Southern Europe,2020,Labour force participation - Female,45.9
