Region,Year,Series,Value
Northern Africa,2015,Labour force participation - Total,46.7
Northern Africa,2015,Unemployment rate - Total,13.1
Northern Africa,2015,Labour force participation - Male,71
Northern Africa,2015,Unemployment rate - Male,10.2
Northern Africa,2015,Labour force participation - Female,22.6
Northern Africa,2015,Unemployment rate - Female,22.2
Northern Africa,2020,Labour force participation - Total,45.7
Northern Africa,2020,Unemployment rate - Total,11.9
Northern Africa,2020,Labour force participation - Male,69.3
Northern Africa,2020,Unemployment rate - Male,8.9
Northern Africa,2020,Labour force participation - Female,22.2
Northern Africa,2020,Unemployment rate - Female,21
Sub-Saharan Africa,2005,Labour force participation - Total,70.3
Sub-Saharan Africa,2005,Unemployment rate - Total,5.9
Sub-Saharan Africa,2005,Labour force participation - Male,75.9
Sub-Saharan Africa,2005,Unemployment rate - Male,5.5
Sub-Saharan Africa,2005,Labour force participation - Female,64.8
Sub-Saharan Africa,2005,Unemployment rate - Female,6.3
Sub-Saharan Africa,2010,Labour force participation - Total,69.5
Sub-Saharan Africa,2010,Unemployment rate - Total,5.7
Sub-Saharan Africa,2010,Labour force participation - Male,75
Sub-Saharan Africa,2010,Unemployment rate - Male,5.4
Sub-Saharan Africa,2010,Labour force participation - Female,64.1
Sub-Saharan Africa,2010,Unemployment rate - Female,6.1
Sub-Saharan Africa,2015,Labour force participation - Total,67.9
Sub-Saharan Africa,2015,Unemployment rate - Total,5.4
Sub-Saharan Africa,2015,Labour force participation - Male,73.3
Sub-Saharan Africa,2015,Unemployment rate - Male,5
Sub-Saharan Africa,2015,Labour force participation - Female,62.7
Sub-Saharan Africa,2015,Unemployment rate - Female,5.9
Sub-Saharan Africa,2020,Labour force participation - Total,67.6
Sub-Saharan Africa,2020,Unemployment rate - Total,5.9
Sub-Saharan Africa,2020,Labour force participation - Male,72.7
Sub-Saharan Africa,2020,Unemployment rate - Male,5.6
Sub-Saharan Africa,2020,Labour force participation - Female,62.7
Sub-Saharan Africa,2020,Unemployment rate - Female,6.2
Eastern Africa,2005,Labour force participation - Total,78.3
Eastern Africa,2005,Unemployment rate - Total,3.9
Eastern Africa,2005,Labour force participation - Male,83.6
Eastern Africa,2005,Unemployment rate - Male,3.6
Eastern Africa,2005,Labour force participation - Female,73.2
Eastern Africa,2005,Unemployment rate - Female,4.2
Eastern Africa,2010,Labour force participation - Total,78.4
Eastern Africa,2010,Unemployment rate - Total,4
Eastern Africa,2010,Labour force participation - Male,83.6
Eastern Africa,2010,Unemployment rate - Male,3.6
Eastern Africa,2010,Labour force participation - Female,73.3
Eastern Africa,2010,Unemployment rate - Female,4.4
Eastern Africa,2015,Labour force participation - Total,77.7
Eastern Africa,2015,Unemployment rate - Total,3.3
Eastern Africa,2015,Labour force participation - Male,82.9
Eastern Africa,2015,Unemployment rate - Male,3
Eastern Africa,2015,Labour force participation - Female,72.7
Eastern Africa,2015,Unemployment rate - Female,3.7
Eastern Africa,2020,Labour force participation - Total,77.4
Eastern Africa,2020,Unemployment rate - Total,3.2
Eastern Africa,2020,Labour force participation - Male,82
Eastern Africa,2020,Unemployment rate - Male,2.9
Eastern Africa,2020,Labour force participation - Female,72.9
Eastern Africa,2020,Unemployment rate - Female,3.6
Middle Africa,2005,Labour force participation - Total,73.7
Middle Africa,2005,Unemployment rate - Total,3.9
Middle Africa,2005,Labour force participation - Male,76.4
Middle Africa,2005,Unemployment rate - Male,4.3
Middle Africa,2005,Labour force participation - Female,71.1
Middle Africa,2005,Unemployment rate - Female,3.5
Middle Africa,2010,Labour force participation - Total,70.3
Middle Africa,2010,Unemployment rate - Total,5.4
Middle Africa,2010,Labour force participation - Male,73.8
Middle Africa,2010,Unemployment rate - Male,5.2
Middle Africa,2010,Labour force participation - Female,66.8
Middle Africa,2010,Unemployment rate - Female,5.6
Middle Africa,2015,Labour force participation - Total,69.1
Middle Africa,2015,Unemployment rate - Total,5
Middle Africa,2015,Labour force participation - Male,72.8
Middle Africa,2015,Unemployment rate - Male,5.1
Middle Africa,2015,Labour force participation - Female,65.6
Middle Africa,2015,Unemployment rate - Female,4.8
Middle Africa,2020,Labour force participation - Total,68.7
Middle Africa,2020,Unemployment rate - Total,4.8
Middle Africa,2020,Labour force participation - Male,72.2
Middle Africa,2020,Unemployment rate - Male,5
Middle Africa,2020,Labour force participation - Female,65.3
Middle Africa,2020,Unemployment rate - Female,4.5
Southern Africa,2005,Labour force participation - Total,55.9
Southern Africa,2005,Unemployment rate - Total,28.7
Southern Africa,2005,Labour force participation - Male,64.5
Southern Africa,2005,Unemployment rate - Male,23.4
Southern Africa,2005,Labour force participation - Female,47.8
Southern Africa,2005,Unemployment rate - Female,35.6
Southern Africa,2010,Labour force participation - Total,53.4
Southern Africa,2010,Unemployment rate - Total,24.5
Southern Africa,2010,Labour force participation - Male,61.2
Southern Africa,2010,Unemployment rate - Male,22.5
Southern Africa,2010,Labour force participation - Female,46
Southern Africa,2010,Unemployment rate - Female,27
Southern Africa,2015,Labour force participation - Total,56.4
Southern Africa,2015,Unemployment rate - Total,24.7
Southern Africa,2015,Labour force participation - Male,63.4
Southern Africa,2015,Unemployment rate - Male,22.7
Southern Africa,2015,Labour force participation - Female,49.7
Southern Africa,2015,Unemployment rate - Female,27.1
Southern Africa,2020,Labour force participation - Total,56.9
Southern Africa,2020,Unemployment rate - Total,27.5
Southern Africa,2020,Labour force participation - Male,63.5
Southern Africa,2020,Unemployment rate - Male,25.6
Southern Africa,2020,Labour force participation - Female,50.7
Southern Africa,2020,Unemployment rate - Female,29.8
Western Africa,2005,Labour force participation - Total,63.9
Western Africa,2005,Unemployment rate - Total,4.5
Western Africa,2005,Labour force participation - Male,70.3
Western Africa,2005,Unemployment rate - Male,4.5
Western Africa,2005,Labour force participation - Female,57.5
Western Africa,2005,Unemployment rate - Female,4.5
Western Africa,2010,Labour force participation - Total,63.3
Western Africa,2010,Unemployment rate - Total,4.4
Western Africa,2010,Labour force participation - Male,69.5
Western Africa,2010,Unemployment rate - Male,4.2
Western Africa,2010,Labour force participation - Female,57.1
Western Africa,2010,Unemployment rate - Female,4.6
Western Africa,2015,Labour force participation - Total,59.1
Western Africa,2015,Unemployment rate - Total,4.6
Western Africa,2015,Labour force participation - Male,65.2
Western Africa,2015,Unemployment rate - Male,4.1
Western Africa,2015,Labour force participation - Female,53.1
Western Africa,2015,Unemployment rate - Female,5.1
Western Africa,2020,Labour force participation - Total,58.4
Western Africa,2020,Unemployment rate - Total,6
Western Africa,2020,Labour force participation - Male,64.3
Western Africa,2020,Unemployment rate - Male,5.5
Western Africa,2020,Labour force participation - Female,52.5
Western Africa,2020,Unemployment rate - Female,6.5
Americas,2005,Labour force participation - Total,64.6
Americas,2005,Unemployment rate - Total,6.8
Americas,2005,Labour force participation - Male,76.2
Americas,2005,Unemployment rate - Male,6
Americas,2005,Labour force participation - Female,53.5
Americas,2005,Unemployment rate - Female,8
Americas,2010,Labour force participation - Total,63.9
Americas,2010,Unemployment rate - Total,7.9
Americas,2010,Labour force participation - Male,74.8
Americas,2010,Unemployment rate - Male,7.5
Americas,2010,Labour force participation - Female,53.6
Americas,2010,Unemployment rate - Female,8.6
Americas,2015,Labour force participation - Total,63.3
Americas,2015,Unemployment rate - Total,6.2
Americas,2015,Labour force participation - Male,73.9
Americas,2015,Unemployment rate - Male,5.7
Americas,2015,Labour force participation - Female,53.1
Americas,2015,Unemployment rate - Female,6.9
Americas,2020,Labour force participation - Total,63.3
Americas,2020,Unemployment rate - Total,6.6
Americas,2020,Labour force participation - Male,73.4
Americas,2020,Unemployment rate - Male,5.9
Americas,2020,Labour force participation - Female,53.6
Americas,2020,Unemployment rate - Female,7.5
Northern America,2005,Labour force participation - Total,65.2
Northern America,2005,Unemployment rate - Total,5.3
Northern America,2005,Labour force participation - Male,72.2
Northern America,2005,Unemployment rate - Male,5.3
Northern America,2005,Labour force participation - Female,58.5
Northern America,2005,Unemployment rate - Female,5.2
Northern America,2010,Labour force participation - Total,63.9
Northern America,2010,Unemployment rate - Total,9.5
Northern America,2010,Labour force participation - Male,70.1
Northern America,2010,Unemployment rate - Male,10.3
Northern America,2010,Labour force participation - Female,58
Northern America,2010,Unemployment rate - Female,8.5
Northern America,2015,Labour force participation - Total,62.4
Northern America,2015,Unemployment rate - Total,5.5
Northern America,2015,Labour force participation - Male,68.6
Northern America,2015,Unemployment rate - Male,5.6
Northern America,2015,Labour force participation - Female,56.4
Northern America,2015,Unemployment rate - Female,5.3
Northern America,2020,Labour force participation - Total,62.1
Northern America,2020,Unemployment rate - Total,4
Northern America,2020,Labour force participation - Male,68.1
Northern America,2020,Unemployment rate - Male,4.1
Northern America,2020,Labour force participation - Female,56.4
Northern America,2020,Unemployment rate - Female,4
Latin America & the Caribbean,2005,Labour force participation - Total,64.1
Latin America & the Caribbean,2005,Unemployment rate - Total,7.9
Latin America & the Caribbean,2005,Labour force participation - Male,78.8
Latin America & the Caribbean,2005,Unemployment rate - Male,6.5
Latin America & the Caribbean,2005,Labour force participation - Female,50.2
Latin America & the Caribbean,2005,Unemployment rate - Female,10.1
Latin America & the Caribbean,2010,Labour force participation - Total,64
Latin America & the Caribbean,2010,Unemployment rate - Total,7
Latin America & the Caribbean,2010,Labour force participation - Male,77.9
Latin America & the Caribbean,2010,Unemployment rate - Male,5.8
Latin America & the Caribbean,2010,Labour force participation - Female,50.8
Latin America & the Caribbean,2010,Unemployment rate - Female,8.7
Latin America & the Caribbean,2015,Labour force participation - Total,63.8
Latin America & the Caribbean,2015,Unemployment rate - Total,6.7
Latin America & the Caribbean,2015,Labour force participation - Male,77.2
Latin America & the Caribbean,2015,Unemployment rate - Male,5.8
Latin America & the Caribbean,2015,Labour force participation - Female,51.1
Latin America & the Caribbean,2015,Unemployment rate - Female,8
Latin America & the Caribbean,2020,Labour force participation - Total,64
Latin America & the Caribbean,2020,Unemployment rate - Total,8.1
Latin America & the Caribbean,2020,Labour force participation - Male,76.6
Latin America & the Caribbean,2020,Unemployment rate - Male,6.9
Latin America & the Caribbean,2020,Labour force participation - Female,52
Latin America & the Caribbean,2020,Unemployment rate - Female,9.8
Caribbean,2005,Labour force participation - Total,57.3
Caribbean,2005,Unemployment rate - Total,7.8
Caribbean,2005,Labour force participation - Male,69.7
Caribbean,2005,Unemployment rate - Male,6.4
Caribbean,2005,Labour force participation - Female,45.4
Caribbean,2005,Unemployment rate - Female,9.9
Caribbean,2010,Labour force participation - Total,58.2
Caribbean,2010,Unemployment rate - Total,8.5
Caribbean,2010,Labour force participation - Male,69.7
Caribbean,2010,Unemployment rate - Male,7.2
Caribbean,2010,Labour force participation - Female,47.1
Caribbean,2010,Unemployment rate - Female,10.2
Caribbean,2015,Labour force participation - Total,59.4
Caribbean,2015,Unemployment rate - Total,8.5
Caribbean,2015,Labour force participation - Male,70.1
Caribbean,2015,Unemployment rate - Male,6.8
Caribbean,2015,Labour force participation - Female,49.2
Caribbean,2015,Unemployment rate - Female,10.8
Caribbean,2020,Labour force participation - Total,59.9
Caribbean,2020,Unemployment rate - Total,7.3
Caribbean,2020,Labour force participation - Male,70.2
Caribbean,2020,Unemployment rate - Male,5.8
Caribbean,2020,Labour force participation - Female,50.1
Caribbean,2020,Unemployment rate - Female,9.4
Central America,2005,Labour force participation - Total,61.1
Central America,2005,Unemployment rate - Total,3.9
Central America,2005,Labour force participation - Male,81.8
Central America,2005,Unemployment rate - Male,3.7
Central America,2005,Labour force participation - Female,42
Central America,2005,Unemployment rate - Female,4.3
Central America,2010,Labour force participation - Total,61.1
Central America,2010,Unemployment rate - Total,5.2
Central America,2010,Labour force participation - Male,80.3
Central America,2010,Unemployment rate - Male,5.1
Central America,2010,Labour force participation - Female,43.4
Central America,2010,Unemployment rate - Female,5.3
Central America,2015,Labour force participation - Total,61.4
Central America,2015,Unemployment rate - Total,4.4
Central America,2015,Labour force participation - Male,79.8
Central America,2015,Unemployment rate - Male,4.1
Central America,2015,Labour force participation - Female,44.2
Central America,2015,Unemployment rate - Female,4.9
Central America,2020,Labour force participation - Total,61.6
Central America,2020,Unemployment rate - Total,4.1
Central America,2020,Labour force participation - Male,79.6
Central America,2020,Unemployment rate - Male,3.7
Central America,2020,Labour force participation - Female,44.9
Central America,2020,Unemployment rate - Female,4.7
South America,2005,Labour force participation - Total,66
South America,2005,Unemployment rate - Total,9.3
South America,2005,Labour force participation - Male,78.7
South America,2005,Unemployment rate - Male,7.5
South America,2005,Labour force participation - Female,53.8
South America,2005,Unemployment rate - Female,11.8
South America,2010,Labour force participation - Total,65.6
South America,2010,Unemployment rate - Total,7.4
South America,2010,Labour force participation - Male,77.9
South America,2010,Unemployment rate - Male,5.9
South America,2010,Labour force participation - Female,53.9
South America,2010,Unemployment rate - Female,9.6
South America,2015,Labour force participation - Total,65.2
South America,2015,Unemployment rate - Total,7.4
South America,2015,Labour force participation - Male,76.9
South America,2015,Unemployment rate - Male,6.3
South America,2015,Labour force participation - Female,54
South America,2015,Unemployment rate - Female,8.8
South America,2020,Labour force participation - Total,65.3
South America,2020,Unemployment rate - Total,9.7
South America,2020,Labour force participation - Male,76.1
South America,2020,Unemployment rate - Male,8.4
South America,2020,Labour force participation - Female,55
South America,2020,Unemployment rate - Female,11.5
Central Asia,2005,Labour force participation - Total,62.6
Central Asia,2005,Unemployment rate - Total,7.9
Central Asia,2005,Labour force participation - Male,72.7
Central Asia,2005,Unemployment rate - Male,7.7
Central Asia,2005,Labour force participation - Female,53.2
Central Asia,2005,Unemployment rate - Female,8.1
Central Asia,2010,Labour force participation - Total,63.1
Central Asia,2010,Unemployment rate - Total,6.1
Central Asia,2010,Labour force participation - Male,73.6
Central Asia,2010,Unemployment rate - Male,6.1
Central Asia,2010,Labour force participation - Female,53.2
Central Asia,2010,Unemployment rate - Female,6.1
Central Asia,2015,Labour force participation - Total,63.6
Central Asia,2015,Unemployment rate - Total,5.7
Central Asia,2015,Labour force participation - Male,74.4
Central Asia,2015,Unemployment rate - Male,5.7
Central Asia,2015,Labour force participation - Female,53.3
Central Asia,2015,Unemployment rate - Female,5.6
Central Asia,2020,Labour force participation - Total,62.7
Central Asia,2020,Unemployment rate - Total,5.9
Central Asia,2020,Labour force participation - Male,74.2
Central Asia,2020,Unemployment rate - Male,6
Central Asia,2020,Labour force participation - Female,51.8
Central Asia,2020,Unemployment rate - Female,5.8
Eastern Asia,2005,Labour force participation - Total,71.9
Eastern Asia,2005,Unemployment rate - Total,4.5
Eastern Asia,2005,Labour force participation - Male,79.1
Eastern Asia,2005,Unemployment rate - Male,4.9
Eastern Asia,2005,Labour force participation - Female,64.4
Eastern Asia,2005,Unemployment rate - Female,3.9
Eastern Asia,2010,Labour force participation - Total,69.8
Eastern Asia,2010,Unemployment rate - Total,4.5
Eastern Asia,2010,Labour force participation - Male,77.5
Eastern Asia,2010,Unemployment rate - Male,5
Eastern Asia,2010,Labour force participation - Female,62
Eastern Asia,2010,Unemployment rate - Female,3.9
Eastern Asia,2015,Labour force participation - Total,68.7
Eastern Asia,2015,Unemployment rate - Total,4.5
Eastern Asia,2015,Labour force participation - Male,76.3
Eastern Asia,2015,Unemployment rate - Male,4.9
Eastern Asia,2015,Labour force participation - Female,61
Eastern Asia,2015,Unemployment rate - Female,3.9
Eastern Asia,2020,Labour force participation - Total,66.9
Eastern Asia,2020,Unemployment rate - Total,4.2
Eastern Asia,2020,Labour force participation - Male,74.5
Eastern Asia,2020,Unemployment rate - Male,4.6
Eastern Asia,2020,Labour force participation - Female,59
Eastern Asia,2020,Unemployment rate - Female,3.6
South-eastern Asia,2005,Labour force participation - Total,67.5
South-eastern Asia,2005,Unemployment rate - Total,4.4
South-eastern Asia,2005,Labour force participation - Male,81
South-eastern Asia,2005,Unemployment rate - Male,4.1
South-eastern Asia,2005,Labour force participation - Female,54.4
South-eastern Asia,2005,Unemployment rate - Female,4.9
South-eastern Asia,2010,Labour force participation - Total,68.7
South-eastern Asia,2010,Unemployment rate - Total,3.2
South-eastern Asia,2010,Labour force participation - Male,81.1
South-eastern Asia,2010,Unemployment rate - Male,3.1
South-eastern Asia,2010,Labour force participation - Female,56.5
South-eastern Asia,2010,Unemployment rate - Female,3.4
South-eastern Asia,2015,Labour force participation - Total,68.3
South-eastern Asia,2015,Unemployment rate - Total,2.9
South-eastern Asia,2015,Labour force participation - Male,80.5
South-eastern Asia,2015,Unemployment rate - Male,3
South-eastern Asia,2015,Labour force participation - Female,56.2
South-eastern Asia,2015,Unemployment rate - Female,2.8
South-eastern Asia,2020,Labour force participation - Total,67.5
South-eastern Asia,2020,Unemployment rate - Total,3.1
South-eastern Asia,2020,Labour force participation - Male,79.3
South-eastern Asia,2020,Unemployment rate - Male,3.1
South-eastern Asia,2020,Labour force participation - Female,56
South-eastern Asia,2020,Unemployment rate - Female,3
Southern Asia,2005,Labour force participation - Total,57.2
Southern Asia,2005,Unemployment rate - Total,5.3
Southern Asia,2005,Labour force participation - Male,82.6
Southern Asia,2005,Unemployment rate - Male,5.2
Southern Asia,2005,Labour force participation - Female,30.3
Southern Asia,2005,Unemployment rate - Female,5.9
Southern Asia,2010,Labour force participation - Total,53.9
Southern Asia,2010,Unemployment rate - Total,5.2
Southern Asia,2010,Labour force participation - Male,80.2
Southern Asia,2010,Unemployment rate - Male,5.2
Southern Asia,2010,Labour force participation - Female,26
Southern Asia,2010,Unemployment rate - Female,5.5
Southern Asia,2015,Labour force participation - Total,51.6
Southern Asia,2015,Unemployment rate - Total,5.4
Southern Asia,2015,Labour force participation - Male,78.1
Southern Asia,2015,Unemployment rate - Male,5.2
Southern Asia,2015,Labour force participation - Female,23.7
Southern Asia,2015,Unemployment rate - Female,6.2
Southern Asia,2020,Labour force participation - Total,50.7
Southern Asia,2020,Unemployment rate - Total,5.4
Southern Asia,2020,Labour force participation - Male,76.9
Southern Asia,2020,Unemployment rate - Male,5.3
Southern Asia,2020,Labour force participation - Female,23.1
Southern Asia,2020,Unemployment rate - Female,5.8
Western Asia,2005,Labour force participation - Total,48.3
Western Asia,2005,Unemployment rate - Total,8.1
Western Asia,2005,Labour force participation - Male,75
Western Asia,2005,Unemployment rate - Male,7.1
Western Asia,2005,Labour force participation - Female,16.7
Western Asia,2005,Unemployment rate - Female,13.1
Western Asia,2010,Labour force participation - Total,49.8
Western Asia,2010,Unemployment rate - Total,7.2
Western Asia,2010,Labour force participation - Male,76
Western Asia,2010,Unemployment rate - Male,5.9
Western Asia,2010,Labour force participation - Female,16.9
Western Asia,2010,Unemployment rate - Female,14
Western Asia,2015,Labour force participation - Total,51.4
Western Asia,2015,Unemployment rate - Total,7.5
Western Asia,2015,Labour force participation - Male,77.6
Western Asia,2015,Unemployment rate - Male,5.6
Western Asia,2015,Labour force participation - Female,18.6
Western Asia,2015,Unemployment rate - Female,17
Western Asia,2020,Labour force participation - Total,51.3
Western Asia,2020,Unemployment rate - Total,8
Western Asia,2020,Labour force participation - Male,77.7
Western Asia,2020,Unemployment rate - Male,6.1
Western Asia,2020,Labour force participation - Female,18
Western Asia,2020,Unemployment rate - Female,18.6
Caucasus,2005,Labour force participation - Total,50.1
Caucasus,2005,Unemployment rate - Total,10.4
Caucasus,2005,Labour force participation - Male,69.8
Caucasus,2005,Unemployment rate - Male,10.3
Caucasus,2005,Labour force participation - Female,31.8
Caucasus,2005,Unemployment rate - Female,10.6
Caucasus,2010,Labour force participation - Total,51.8
Caucasus,2010,Unemployment rate - Total,10.7
Caucasus,2010,Labour force participation - Male,69.7
Caucasus,2010,Unemployment rate - Male,10.4
Caucasus,2010,Labour force participation - Female,35
Caucasus,2010,Unemployment rate - Female,11.1
Caucasus,2015,Labour force participation - Total,54.4
Caucasus,2015,Unemployment rate - Total,9.9
Caucasus,2015,Labour force participation - Male,71.4
Caucasus,2015,Unemployment rate - Male,9.1
Caucasus,2015,Labour force participation - Female,38.5
Caucasus,2015,Unemployment rate - Female,11.1
Caucasus,2020,Labour force participation - Total,55.6
Caucasus,2020,Unemployment rate - Total,11.5
Caucasus,2020,Labour force participation - Male,71.9
Caucasus,2020,Unemployment rate - Male,10.8
Caucasus,2020,Labour force participation - Female,40.1
Caucasus,2020,Unemployment rate - Female,12.7
Eastern Europe,2005,Labour force participation - Total,57.8
Eastern Europe,2005,Unemployment rate - Total,8.7
Eastern Europe,2005,Labour force participation - Male,65.1
Eastern Europe,2005,Unemployment rate - Male,8.8
Eastern Europe,2005,Labour force participation - Female,51.6
Eastern Europe,2005,Unemployment rate - Female,8.6
Eastern Europe,2010,Labour force participation - Total,58.8
Eastern Europe,2010,Unemployment rate - Total,8
Eastern Europe,2010,Labour force participation - Male,66.7
Eastern Europe,2010,Unemployment rate - Male,8.5
Eastern Europe,2010,Labour force participation - Female,52
Eastern Europe,2010,Unemployment rate - Female,7.4
Eastern Europe,2015,Labour force participation - Total,59.2
Eastern Europe,2015,Unemployment rate - Total,6.6
Eastern Europe,2015,Labour force participation - Male,67.7
Eastern Europe,2015,Unemployment rate - Male,6.9
Eastern Europe,2015,Labour force participation - Female,52
Eastern Europe,2015,Unemployment rate - Female,6.2
Eastern Europe,2020,Labour force participation - Total,58.5
Eastern Europe,2020,Unemployment rate - Total,4.7
Eastern Europe,2020,Labour force participation - Male,67
Eastern Europe,2020,Unemployment rate - Male,5
Eastern Europe,2020,Labour force participation - Female,51.3
Eastern Europe,2020,Unemployment rate - Female,4.5
Northern Europe,2005,Labour force participation - Total,62
Northern Europe,2005,Labour force participation - Male,68.9
Northern Europe,2005,Labour force participation - Female,55.6
Northern Europe,2010,Labour force participation - Total,62
Northern Europe,2010,Labour force participation - Male,68.1
Northern Europe,2010,Labour force participation - Female,56.3
Northern Europe,2015,Labour force participation - Total,62.3
Northern Europe,2015,Labour force participation - Male,67.8
Northern Europe,2015,Labour force participation - Female,57.1
Northern Europe,2020,Labour force participation - Total,62.7
Northern Europe,2020,Labour force participation - Male,67.6
Northern Europe,2020,Labour force participation - Female,57.9
Southern Europe,2005,Labour force participation - Total,53.3
Southern Europe,2005,Unemployment rate - Total,10.4
Southern Europe,2005,Labour force participation - Male,64.4
Southern Europe,2005,Unemployment rate - Male,8.4
Southern Europe,2005,Labour force participation - Female,42.8
Southern Europe,2005,Unemployment rate - Female,13.1
Southern Europe,2010,Labour force participation - Total,53.4
Southern Europe,2010,Unemployment rate - Total,14.3
Southern Europe,2010,Labour force participation - Male,62.7
Southern Europe,2010,Unemployment rate - Male,13.5
Southern Europe,2010,Labour force participation - Female,44.7
Southern Europe,2010,Unemployment rate - Female,15.4
Southern Europe,2015,Labour force participation - Total,53.2
Southern Europe,2015,Unemployment rate - Total,17.2
Southern Europe,2015,Labour force participation - Male,61.4
Southern Europe,2015,Unemployment rate - Male,16.2
Southern Europe,2015,Labour force participation - Female,45.6
Southern Europe,2015,Unemployment rate - Female,18.5
Southern Europe,2020,Labour force participation - Total,53.1
Southern Europe,2020,Unemployment rate - Total,11.3
Southern Europe,2020,Labour force participation - Male,60.9
Southern Europe,2020,Unemployment rate - Male,9.9
Southern Europe,2020,Labour force participation - Female,45.9
Southern Europe,2020,Unemployment rate - Female,13
Western Europe,2005,Labour force participation - Total,58
Western Europe,2005,Unemployment rate - Total,9.1
Western Europe,2005,Labour force participation - Male,65.7
Western Europe,2005,Unemployment rate - Male,8.9
Western Europe,2005,Labour force participation - Female,50.8
Western Europe,2005,Unemployment rate - Female,9.4
Western Europe,2010,Labour force participation - Total,58.8
Western Europe,2010,Unemployment rate - Total,7.2
Western Europe,2010,Labour force participation - Male,65.4
Western Europe,2010,Unemployment rate - Male,7.3
Western Europe,2010,Labour force participation - Female,52.6
Western Europe,2010,Unemployment rate - Female,7.2
Western Europe,2015,Labour force participation - Total,58.9
Western Europe,2015,Unemployment rate - Total,6.9
Western Europe,2015,Labour force participation - Male,64.6
Western Europe,2015,Unemployment rate - Male,7.2
Western Europe,2015,Labour force participation - Female,53.5
Western Europe,2015,Unemployment rate - Female,6.6
Western Europe,2020,Labour force participation - Total,59
Western Europe,2020,Unemployment rate - Total,5
Western Europe,2020,Labour force participation - Male,64.3
Western Europe,2020,Unemployment rate - Male,5.1
Western Europe,2020,Labour force participation - Female,53.9
Western Europe,2020,Unemployment rate - Female,4.8
Oceania,2005,Labour force participation - Total,64.3
Oceania,2005,Unemployment rate - Total,4.5
Oceania,2005,Labour force participation - Male,71.2
Oceania,2005,Unemployment rate - Male,4.5
Oceania,2005,Labour force participation - Female,57.5
Oceania,2005,Unemployment rate - Female,4.6
Oceania,2010,Labour force participation - Total,63
Oceania,2010,Unemployment rate - Total,5
Oceania,2010,Labour force participation - Male,69.1
Oceania,2010,Unemployment rate - Male,5
Oceania,2010,Labour force participation - Female,56.9
Oceania,2010,Unemployment rate - Female,5.1
Oceania,2015,Labour force participation - Total,62.5
Oceania,2015,Unemployment rate - Total,5.5
Oceania,2015,Labour force participation - Male,67.8
Oceania,2015,Unemployment rate - Male,5.5
Oceania,2015,Labour force participation - Female,57.2
Oceania,2015,Unemployment rate - Female,5.4
Oceania,2020,Labour force participation - Total,62.5
Oceania,2020,Unemployment rate - Total,4.8
Oceania,2020,Labour force participation - Male,67.2
Oceania,2020,Unemployment rate - Male,4.8
Oceania,2020,Labour force participation - Female,57.9
